f1,f2,f3,f4,f5,label
0.041039855040128415,0.17559691385701148,0.17509123647091696,0.6410518926384257,0.12172890105654477,0
0.40976958003253083,0.7074808626354326,0.7848863054289592,0.07165184749492015,0.6487095845591396,1
0.5887141553960606,0.07491584823483755,0.9940263383955975,0.6664453411433119,0.025487874208285688,1
0.8999332914878131,0.8593188132090643,0.9316313009722332,0.07473072150997218,0.9950697416330141,1
0.1211149237417034,0.8664942584306529,0.022758533472107878,0.5801640995022556,0.46417716164761047,0
0.17019841274461844,0.8049100959672381,0.07394013673188282,0.7796513765052321,0.6319519187266338,0
0.9401680453079029,0.9177446628813707,0.16414830482282894,0.91162622604268,0.7915062327385493,1
0.5953040945528082,0.018625760390380663,0.6954901636127198,0.10962389022223995,0.4620007296379144,0
0.3356792590235351,0.4670322889322909,0.0532381068765817,0.12152259200278881,0.7800632436642083,0
0.44169463817317145,0.6129790710207856,0.5998196263700578,0.2775525693738057,0.10812157526824573,1
0.49583077844461976,0.25482351416624294,0.6986915164413163,0.10333755935466937,0.3038333510071467,1
0.08789920931573392,0.7903340999342404,0.2270657528060428,0.9336935928995006,0.2127975178607563,0
0.2741646236594433,0.5674673983549573,0.6149580060969018,0.06027541053825569,0.8345409109956925,0
0.6600455360929692,0.2909939440558159,0.6666975185973978,0.9933977111834666,0.00010255956534255262,1
0.08032920809465582,0.5523764682007399,0.88219229909876,0.22357334735113676,0.7303964380949696,1
0.038653073214024,0.3910691958661686,0.5113242699184113,0.5552708190963533,0.023642052463976437,0
0.6751070631960532,0.8306944542474965,0.597268520576,0.8864259482427452,0.05496233795787009,1
0.1873443957405635,0.535146312318656,0.8329797004479631,0.3596211097033385,0.9608864486127587,1
0.9393258307395163,0.26038129173561075,0.33661043284394543,0.3512254140686536,0.654577137008855,1
0.8712376181844806,0.5545241701325384,0.5518235671490458,0.5150152286185811,0.8817213873933916,1
0.35829874479675305,0.04303253318314282,0.08796754461425527,0.4396528010020345,0.4743707638583571,0
0.5678385675928462,0.6174831954384802,0.32812496693809223,0.40638419759324396,0.5682006255283125,0
0.8792629217551294,0.3260388047872068,0.4829672123365234,0.4719483088903208,0.6033114534289648,1
0.45247128853273655,0.11372461482522744,0.2856334258422569,0.7142246447451862,0.3824388007906908,0
0.7050643303859588,0.5762958783342106,0.7675776329879642,0.32770374756900456,0.24261769411531608,1
0.7961796257432346,0.6873330341949658,0.5422010334945163,0.5969004975092953,0.314565160583839,1
0.9437723319518545,0.6871961832947334,0.755703169092028,0.8780844104436467,0.9648666250144982,1
